#wavelengths (mu)	size parameter  	extinction cross section (cm^2)  	scattering cross section (cm^2)  	absorption cross section (cm^2)  	single scattering albedo         	asymmetry parameter              
4.2030000000e-02	1.4949286955e+03	6.3230336336e-06                 	3.7216107144e-06                 	2.6014229192e-06                 	5.8857993332e-01                 	9.3407376153e-01                 
4.3050000000e-02	1.4595087822e+03	6.3238877163e-06                 	3.7434247712e-06                 	2.5804629451e-06                 	5.9194991106e-01                 	9.2986422962e-01                 
4.3970000000e-02	1.4289709591e+03	6.3247641369e-06                 	3.7885417738e-06                 	2.5362223631e-06                 	5.9900127369e-01                 	9.2190759233e-01                 
4.4920000000e-02	1.3987500684e+03	6.3257952817e-06                 	3.8316014309e-06                 	2.4941938508e-06                 	6.0571062772e-01                 	9.1309412974e-01                 
4.5920000000e-02	1.3682894833e+03	6.3266003912e-06                 	3.8535398840e-06                 	2.4730605072e-06                 	6.0910119902e-01                 	9.0860552816e-01                 
4.6960000000e-02	1.3379866497e+03	6.3275672030e-06                 	3.8743330976e-06                 	2.4532341054e-06                 	6.1229426307e-01                 	9.0332197975e-01                 
4.8060000000e-02	1.3073627356e+03	6.3286967816e-06                 	3.8963195858e-06                 	2.4323771958e-06                 	6.1565907173e-01                 	8.9694221651e-01                 
4.9010000000e-02	1.2820210788e+03	6.3296356970e-06                 	3.9415228875e-06                 	2.3881128095e-06                 	6.2270927999e-01                 	8.8746018744e-01                 
4.9990000000e-02	1.2568884391e+03	6.3306092495e-06                 	3.9457961831e-06                 	2.3848130664e-06                 	6.2328853790e-01                 	8.8423641434e-01                 
5.1020000000e-02	1.2315141723e+03	6.3316489251e-06                 	3.9739445581e-06                 	2.3577043669e-06                 	6.2763185470e-01                 	8.7693007912e-01                 
5.1880000000e-02	1.2110997123e+03	6.3326428124e-06                 	3.9686032790e-06                 	2.3640395334e-06                 	6.2668989813e-01                 	8.7487817312e-01                 
5.2990000000e-02	1.1857303844e+03	6.3335622786e-06                 	3.9780068422e-06                 	2.3555554364e-06                 	6.2808363875e-01                 	8.7184369639e-01                 
5.3910000000e-02	1.1654953269e+03	6.3344781760e-06                 	3.9757217289e-06                 	2.3587564471e-06                 	6.2763208246e-01                 	8.7022038512e-01                 
5.5100000000e-02	1.1403240122e+03	6.3354359505e-06                 	3.9706695357e-06                 	2.3647664147e-06                 	6.2673974873e-01                 	8.6988060637e-01                 
5.6100000000e-02	1.1199973810e+03	6.3362859118e-06                 	3.9672170082e-06                 	2.3690689036e-06                 	6.2611079479e-01                 	8.6927184817e-01                 
5.6870000000e-02	1.1048330064e+03	6.3370030465e-06                 	3.9651745454e-06                 	2.3718285011e-06                 	6.2571763281e-01                 	8.6842055360e-01                 
5.7940000000e-02	1.0844296353e+03	6.3379051834e-06                 	3.9646385752e-06                 	2.3732666082e-06                 	6.2554400239e-01                 	8.6735867971e-01                 
5.9040000000e-02	1.0642251537e+03	6.3388295165e-06                 	3.9653413117e-06                 	2.3734882047e-06                 	6.2556364727e-01                 	8.6610432836e-01                 
5.9900000000e-02	1.0489457942e+03	6.3396061198e-06                 	3.9808928982e-06                 	2.3587132215e-06                 	6.2794009959e-01                 	8.6217987675e-01                 
6.1080000000e-02	1.0286812880e+03	6.3405824758e-06                 	3.9832117398e-06                 	2.3573707360e-06                 	6.2820912038e-01                 	8.6069122706e-01                 
6.1990000000e-02	1.0135804657e+03	6.3414110208e-06                 	3.9734613057e-06                 	2.3679497151e-06                 	6.2658945977e-01                 	8.6136872108e-01                 
6.2940000000e-02	9.9828174566e+02	6.3421275719e-06                 	3.9695967005e-06                 	2.3725308714e-06                 	6.2590931127e-01                 	8.6157897837e-01                 
6.3910000000e-02	9.8313023113e+02	6.3430053318e-06                 	3.9628887274e-06                 	2.3801166044e-06                 	6.2476515785e-01                 	8.6173676826e-01                 
6.4910000000e-02	9.6798417920e+02	6.3437792451e-06                 	3.9493919385e-06                 	2.3943873066e-06                 	6.2256137641e-01                 	8.6367994004e-01                 
6.5950000000e-02	9.5271953104e+02	6.3444282327e-06                 	3.9391116220e-06                 	2.4053166107e-06                 	6.2087732377e-01                 	8.6560815871e-01                 
6.7020000000e-02	9.3750899839e+02	6.3452268203e-06                 	3.9377758692e-06                 	2.4074509511e-06                 	6.2058866936e-01                 	8.6537982752e-01                 
6.8120000000e-02	9.2237012730e+02	6.3460444544e-06                 	3.9368250576e-06                 	2.4092193968e-06                 	6.2035888433e-01                 	8.6508709128e-01                 
6.8880000000e-02	9.1219298885e+02	6.3465562851e-06                 	3.9178489040e-06                 	2.4287073811e-06                 	6.1731886207e-01                 	8.6851128010e-01                 
7.0050000000e-02	8.9695721730e+02	6.3473875524e-06                 	3.9270858318e-06                 	2.4203017206e-06                 	6.1869324969e-01                 	8.6642165737e-01                 
7.0850000000e-02	8.8682926001e+02	6.3480295012e-06                 	3.9269835128e-06                 	2.4210459885e-06                 	6.1861456567e-01                 	8.6595059062e-01                 
7.2080000000e-02	8.7169607480e+02	6.3487922668e-06                 	3.9185697474e-06                 	2.4302225194e-06                 	6.1721498873e-01                 	8.6753536548e-01                 
7.2930000000e-02	8.6153644689e+02	6.3494662161e-06                 	3.9190670571e-06                 	2.4303991590e-06                 	6.1722779895e-01                 	8.6695995810e-01                 
7.3800000000e-02	8.5138012292e+02	6.3501168535e-06                 	3.9282437899e-06                 	2.4218730636e-06                 	6.1860968555e-01                 	8.6486888561e-01                 
7.5140000000e-02	8.3619713963e+02	6.3510805425e-06                 	3.9292337566e-06                 	2.4218467859e-06                 	6.1867169378e-01                 	8.6425385267e-01                 
7.6060000000e-02	8.2608273826e+02	6.3517972099e-06                 	3.9303112827e-06                 	2.4214859272e-06                 	6.1877153077e-01                 	8.6358899046e-01                 
7.7010000000e-02	8.1589213182e+02	6.3524937772e-06                 	3.9395488050e-06                 	2.4129449721e-06                 	6.2015783773e-01                 	8.6150707025e-01                 
7.8970000000e-02	7.9564205485e+02	6.3540398871e-06                 	3.9350299886e-06                 	2.4190098985e-06                 	6.1929576435e-01                 	8.6135264219e-01                 
7.9990000000e-02	7.8549635044e+02	6.3548180526e-06                 	3.9370558375e-06                 	2.4177622151e-06                 	6.1953871927e-01                 	8.6053422847e-01                 
8.1040000000e-02	7.7531901619e+02	6.3554768775e-06                 	3.9304688966e-06                 	2.4250079809e-06                 	6.1843807669e-01                 	8.6174887692e-01                 
8.3210000000e-02	7.5509978454e+02	6.3571572228e-06                 	3.9291530683e-06                 	2.4280041544e-06                 	6.1806762530e-01                 	8.6102335856e-01                 
8.3770000000e-02	7.5005196457e+02	6.3575314785e-06                 	3.9231873454e-06                 	2.4343441331e-06                 	6.1709286988e-01                 	8.6207271993e-01                 
8.4920000000e-02	7.3989464286e+02	6.3582997628e-06                 	3.9118771252e-06                 	2.4464226376e-06                 	6.1523949345e-01                 	8.6405047183e-01                 
8.6700000000e-02	7.2470418768e+02	6.3594895693e-06                 	3.8964051073e-06                 	2.4630844620e-06                 	6.1269148488e-01                 	8.6672341173e-01                 
8.9200000000e-02	7.0439297166e+02	6.3611010518e-06                 	3.8828818690e-06                 	2.4782191828e-06                 	6.1041034207e-01                 	8.6906510586e-01                 
8.9840000000e-02	6.9937503419e+02	6.3615273191e-06                 	3.8786605962e-06                 	2.4828667229e-06                 	6.0970587748e-01                 	8.6977123719e-01                 
9.1840000000e-02	6.8414474164e+02	6.3625163231e-06                 	3.8542690897e-06                 	2.5082472334e-06                 	6.0577747765e-01                 	8.7498474074e-01                 
9.3220000000e-02	6.7401687483e+02	6.3633646735e-06                 	3.8509019860e-06                 	2.5124626875e-06                 	6.0516757778e-01                 	8.7557355628e-01                 
9.4650000000e-02	6.6383362992e+02	6.3638848893e-06                 	3.8195477927e-06                 	2.5443370966e-06                 	6.0019121325e-01                 	8.8239128159e-01                 
9.6860000000e-02	6.4868731232e+02	6.3648297606e-06                 	3.8039060721e-06                 	2.5609236886e-06                 	5.9764458990e-01                 	8.8623987595e-01                 
9.9190000000e-02	6.3344947144e+02	6.3658147133e-06                 	3.7883191731e-06                 	2.5774955402e-06                 	5.9510358748e-01                 	8.9008124019e-01                 
1.0080000000e-01	6.2333187571e+02	6.3662975628e-06                 	3.7756146268e-06                 	2.5906829359e-06                 	5.9306285790e-01                 	8.9350086229e-01                 
1.0330000000e-01	6.0824639953e+02	6.3673883589e-06                 	3.7714392065e-06                 	2.5959491524e-06                 	5.9230550956e-01                 	8.9500339920e-01                 
1.0600000000e-01	5.9275333087e+02	6.3683708300e-06                 	3.7746923874e-06                 	2.5936784425e-06                 	5.9272496659e-01                 	8.9547184982e-01                 
1.0780000000e-01	5.8285577989e+02	6.3692165229e-06                 	3.7791904163e-06                 	2.5900261067e-06                 	5.9335247948e-01                 	8.9491595225e-01                 
1.0970000000e-01	5.7276073903e+02	6.3700148723e-06                 	3.7882585709e-06                 	2.5817563013e-06                 	5.9470168389e-01                 	8.9367385835e-01                 
1.1170000000e-01	5.6250539903e+02	6.3708575762e-06                 	3.7981921827e-06                 	2.5726653935e-06                 	5.9618224662e-01                 	8.9226791716e-01                 
1.1480000000e-01	5.4731579331e+02	6.3724519860e-06                 	3.8179928871e-06                 	2.5544590989e-06                 	5.9914031451e-01                 	8.8867233707e-01                 
1.1810000000e-01	5.3202246462e+02	6.3743566632e-06                 	3.8476159829e-06                 	2.5267406803e-06                 	6.0360851866e-01                 	8.8282597241e-01                 
1.2040000000e-01	5.2185924478e+02	6.3754233451e-06                 	3.8542948501e-06                 	2.5211284950e-06                 	6.0455512386e-01                 	8.8186908973e-01                 
1.2400000000e-01	5.0670849251e+02	6.3772647401e-06                 	3.8768553336e-06                 	2.5004094065e-06                 	6.0791820500e-01                 	8.7775022990e-01                 
1.2700000000e-01	4.9473900057e+02	6.3785065320e-06                 	3.8985963946e-06                 	2.4799101374e-06                 	6.1120834086e-01                 	8.7428337804e-01                 
1.3000000000e-01	4.8332194671e+02	6.3799866836e-06                 	3.9314837013e-06                 	2.4485029823e-06                 	6.1622130206e-01                 	8.6829913856e-01                 
1.3400000000e-01	4.6889442591e+02	6.3822831338e-06                 	4.0127262995e-06                 	2.3695568343e-06                 	6.2872896977e-01                 	8.5285854368e-01                 
1.3700000000e-01	4.5862666476e+02	6.3845567920e-06                 	4.0796939548e-06                 	2.3048628371e-06                 	6.3899407395e-01                 	8.3929534166e-01                 
1.3900000000e-01	4.5202771994e+02	6.3859213498e-06                 	4.1197323818e-06                 	2.2661889680e-06                 	6.4512732872e-01                 	8.3143515300e-01                 
1.4200000000e-01	4.4247783853e+02	6.3882277391e-06                 	4.1908004451e-06                 	2.1974272940e-06                 	6.5601926171e-01                 	8.1733600395e-01                 
1.4400000000e-01	4.3633231300e+02	6.3896127115e-06                 	4.2335162902e-06                 	2.1560964213e-06                 	6.6256226807e-01                 	8.0914126871e-01                 
1.4600000000e-01	4.3035515803e+02	6.3912485417e-06                 	4.2862742855e-06                 	2.1049742561e-06                 	6.7064741069e-01                 	7.9885203422e-01                 
1.4900000000e-01	4.2169028907e+02	6.3938677125e-06                 	4.3583659654e-06                 	2.0355017471e-06                 	6.8164781652e-01                 	7.8466941897e-01                 
1.5100000000e-01	4.1610498723e+02	6.3955506369e-06                 	4.3994228728e-06                 	1.9961277641e-06                 	6.8788805257e-01                 	7.7669774605e-01                 
1.5310000000e-01	4.1039747271e+02	6.3975016362e-06                 	4.4635342266e-06                 	1.9339674096e-06                 	6.9769958343e-01                 	7.6464269794e-01                 
1.5500000000e-01	4.0536679401e+02	6.3991487736e-06                 	4.5050961310e-06                 	1.8940526426e-06                 	7.0401490735e-01                 	7.5686295043e-01                 
1.5690000000e-01	4.0045795457e+02	6.4010749183e-06                 	4.5413407557e-06                 	1.8597341627e-06                 	7.0946533412e-01                 	7.4974399081e-01                 
1.5900000000e-01	3.9516888724e+02	6.4030821398e-06                 	4.5917066554e-06                 	1.8113754844e-06                 	7.1710881653e-01                 	7.4050331338e-01                 
1.6100000000e-01	3.9025995697e+02	6.4050787616e-06                 	4.6275385001e-06                 	1.7775402615e-06                 	7.2247956229e-01                 	7.3374673067e-01                 
1.6290000000e-01	3.8570812199e+02	6.4070057052e-06                 	4.6773644717e-06                 	1.7296412335e-06                 	7.3003906769e-01                 	7.2492237358e-01                 
1.6490000000e-01	3.8103003682e+02	6.4090552396e-06                 	4.6983113145e-06                 	1.7107439251e-06                 	7.3307393038e-01                 	7.2074477875e-01                 
1.6800000000e-01	3.7399912543e+02	6.4122235102e-06                 	4.7230871256e-06                 	1.6891363847e-06                 	7.3657556042e-01                 	7.1563577586e-01                 
1.7010000000e-01	3.6938185227e+02	6.4141132577e-06                 	4.7358652568e-06                 	1.6782480008e-06                 	7.3835073791e-01                 	7.1311280927e-01                 
1.7200000000e-01	3.6530147135e+02	6.4159080592e-06                 	4.7486577303e-06                 	1.6672503289e-06                 	7.4013805786e-01                 	7.1060469204e-01                 
1.7390000000e-01	3.6131025343e+02	6.4177139872e-06                 	4.7615165654e-06                 	1.6561974217e-06                 	7.4193343221e-01                 	7.0811815096e-01                 
1.7690000000e-01	3.5518288904e+02	6.4201577148e-06                 	4.7625150405e-06                 	1.6576426743e-06                 	7.4180654932e-01                 	7.0751049262e-01                 
1.7990000000e-01	3.4925988367e+02	6.4228784664e-06                 	4.7723635270e-06                 	1.6505149395e-06                 	7.4302566239e-01                 	7.0538057733e-01                 
1.8210000000e-01	3.4504037931e+02	6.4245670575e-06                 	4.8012355512e-06                 	1.6233315063e-06                 	7.4732437349e-01                 	7.0086058616e-01                 
1.8510000000e-01	3.3944815274e+02	6.4278899763e-06                 	4.8153995425e-06                 	1.6124904338e-06                 	7.4914156282e-01                 	6.9777075838e-01                 
1.8790000000e-01	3.3438985137e+02	6.4300349704e-06                 	4.8099661250e-06                 	1.6200688454e-06                 	7.4804665093e-01                 	6.9835786104e-01                 
1.9100000000e-01	3.2896258153e+02	6.4329022441e-06                 	4.8208688864e-06                 	1.6120333577e-06                 	7.4940807484e-01                 	6.9621247105e-01                 
1.9400000000e-01	3.2387553130e+02	6.4354944447e-06                 	4.8141871809e-06                 	1.6213072638e-06                 	7.4806795690e-01                 	6.9679848334e-01                 
1.9710000000e-01	3.1878159854e+02	6.4378805187e-06                 	4.8011220449e-06                 	1.6367584738e-06                 	7.4576128447e-01                 	6.9849859583e-01                 
2.0000000000e-01	3.1415926536e+02	6.4398203513e-06                 	4.8002693635e-06                 	1.6395509879e-06                 	7.4540423514e-01                 	6.9862966420e-01                 
2.0290000000e-01	3.0966906393e+02	6.4423985268e-06                 	4.7963116313e-06                 	1.6460868956e-06                 	7.4449160686e-01                 	6.9881047388e-01                 
2.0700000000e-01	3.0353552209e+02	6.4450565221e-06                 	4.7874949642e-06                 	1.6575615579e-06                 	7.4281659870e-01                 	7.0015476007e-01                 
2.1010000000e-01	2.9905689230e+02	6.4468554510e-06                 	4.7712983911e-06                 	1.6755570600e-06                 	7.4009700191e-01                 	7.0267524271e-01                 
2.1410000000e-01	2.9346965470e+02	6.4494252229e-06                 	4.7717619277e-06                 	1.6776632951e-06                 	7.3987398301e-01                 	7.0268075629e-01                 
